GDP,CPIAUCSL,UNRATE,PCE
18063.529,234.747,5.7,12066.7
18063.529,235.342,5.5,12116.6
18063.529,235.976,5.4,12176.1
18279.784,236.222,5.4,12209.1
18279.784,237.001,5.6,12275.4
18279.784,237.657,5.3,12307.9
18401.626,238.034,5.2,12364.9
18401.626,238.033,5.1,12396.2
18401.626,237.498,5.0,12386.4
18435.137,237.733,5.0,12394.9
18435.137,238.017,5.1,12423.2
18435.137,237.761,5.0,12452.0
18525.933,237.652,4.8,12478.0
18525.933,237.336,4.9,12554.5
18525.933,238.08,5.0,12537.0
18711.702,238.992,5.1,12611.5
18711.702,239.557,4.8,12652.7
18711.702,240.222,4.9,12731.2
18892.639,240.101,4.8,12756.7
18892.639,240.545,4.9,12788.1
18892.639,241.176,5.0,12846.6
19089.379,241.741,4.9,12867.0
19089.379,242.026,4.7,12893.0
19089.379,242.637,4.7,13005.9
19280.084,243.618,4.7,13063.7
19280.084,244.006,4.6,13088.4
19280.084,243.892,4.4,13139.9
19438.643,244.193,4.4,13169.2
19438.643,244.004,4.4,13171.9
19438.643,244.163,4.3,13225.2
19692.595,244.243,4.3,13263.3
19692.595,245.183,4.4,13294.6
19692.595,246.435,4.3,13417.3
20037.088,246.626,4.2,13447.5
20037.088,247.284,4.2,13540.6
20037.088,247.805,4.1,13666.1
20328.553,248.859,4.0,13703.3
20328.553,249.529,4.1,13738.7
20328.553,249.577,4.0,13793.2
20580.912,250.227,4.0,13838.4
20580.912,250.792,3.8,13905.0
20580.912,251.018,4.0,13930.4
20798.73,251.214,3.8,13974.8
20798.73,251.663,3.8,14014.0
20798.73,252.182,3.7,14017.8
20917.867,252.772,3.8,14083.1
20917.867,252.594,3.8,14162.9
20917.867,252.767,3.9,14051.6
21111.6,252.561,4.0,14084.6
21111.6,253.319,3.8,14117.4
21111.6,254.277,3.8,14248.6
21397.938,255.233,3.7,14290.0
21397.938,255.296,3.6,14353.3
21397.938,255.213,3.6,14408.7
21717.171,255.802,3.7,14496.0
21717.171,256.036,3.6,14558.2
21717.171,256.43,3.5,14590.6
21933.217,257.155,3.6,14617.4
21933.217,257.879,3.6,14711.0
21933.217,258.63,3.6,14774.8
21727.657,259.127,3.6,14844.3
21727.657,259.25,3.5,14833.8
21727.657,258.076,4.4,13810.5
19935.444,256.032,14.8,12234.4
19935.444,255.802,13.2,13251.7
19935.444,257.042,11.0,14040.8
21684.551,258.352,10.2,14303.8
21684.551,259.316,8.4,14454.9
21684.551,259.997,7.8,14675.4
22068.767,260.319,6.9,14726.0
22068.767,260.911,6.7,14704.9
22068.767,262.045,6.7,14827.3
22656.793,262.639,6.4,15081.5
22656.793,263.573,6.2,14984.4
22656.793,264.847,6.1,15712.4
23368.861,266.625,6.1,15915.0
23368.861,268.404,5.8,15950.5
23368.861,270.71,5.9,16183.6
23921.991,271.965,5.4,16223.5
23921.991,272.752,5.1,16390.6
23921.991,273.942,4.7,16477.5
24777.038,276.528,4.5,16694.0
24777.038,278.824,4.2,16849.0
24777.038,280.806,3.9,16905.5
25215.491,282.542,4.0,17017.8
25215.491,284.525,3.8,17136.1
25215.491,287.467,3.7,17371.4
25805.791,288.582,3.7,17493.8
25805.791,291.299,3.6,17569.9
25805.791,295.072,3.6,17747.6
26272.011,294.94,3.5,17744.0
26272.011,295.162,3.6,17897.5
26272.011,296.421,3.5,17987.2
26734.277,297.979,3.6,18096.2
26734.277,298.708,3.6,18094.0
26734.277,298.808,3.5,18134.6
27164.359,300.456,3.5,18475.2
27164.359,301.476,3.6,18532.1
27164.359,301.643,3.5,18511.3
27453.815,302.858,3.4,18638.7
27453.815,303.316,3.6,18676.4
27453.815,304.099,3.6,18742.1
27967.697,304.615,3.5,18850.5
27967.697,306.138,3.7,18911.6
27967.697,307.374,3.8,19024.9
28296.967,307.653,3.9,19069.5
28296.967,308.087,3.7,19151.0
28296.967,308.735,3.8,19289.9
28624.069,309.794,3.7,19308.5
28624.069,311.022,3.9,19412.7
28624.069,312.107,3.9,19553.2
29016.714,313.016,3.9,19603.3
29016.714,313.14,4.0,19697.3
29016.714,313.131,4.1,19747.5
29374.914,313.566,4.2,19866.3
29374.914,314.131,4.2,19905.0
29374.914,314.851,4.1,20044.1
29723.864,315.564,4.1,20123.2
29723.864,316.449,4.2,20235.1
29723.864,317.603,4.1,20408.1
29723.864,319.086,4.0,20351.5
